PLAYER,TEAM,AGE,GAMES_PLAYED,WINS,LOSSES,MIN_TOTAL,MIN_PER_GAME,DEF_RTG,DREB_TOTAL,DREB_PER_GAME,DREB_PCT,PCT_TEAM_DREB,STL_TOTAL,STL_PER_GAME,PCT_TEAM_STL,BLK_TOTAL,BLK_PER_GAME,PCT_TEAM_BLK,OPP_PTS_OFF_TOV_TOTAL,OPP_PPG_OFF_TOV,OPP_2ND_CHANCE_PTS_TOTAL,OPP_2ND_CHANCE_PPG,OPP_FB_PTS_TOTAL,OPP_FB_PPG,OPP_PAINT_PTS_TOTAL,OPP_PAINT_PPG,DEF_WS_TOTAL,DEF_WS_PER_GAME
Tyrese Haliburton,IND,25,73,46,27,2450,33.6,114.2,216,3,8.7,13.2,105,1.4,26.4,49,0.7,16.8,762,10.4,721,9.9,636,8.7,2706,37.1,6,0.082
Tyrese Martin,BKN,26,60,16,44,1315,21.9,113.4,161,2.7,13.3,19.5,34,0.6,15.3,9,0.2,8.4,559,9.3,340,5.7,453,7.6,1360,22.7,3.6,0.06
Tyrese Maxey,PHI,24,52,20,32,1960,37.7,117.4,159,3.1,8.7,13.8,91,1.8,22.8,21,0.4,13,644,12.4,589,11.3,646,12.4,2062,39.7,3,0.058
Tyson Etienne,BKN,25,7,1,6,151,21.6,119.3,6,0.9,4.6,6.3,3,0.4,10.3,1,0.1,11.1,60,8.6,38,5.4,66,9.4,170,24.3,0.2,0.024
Tyus Jones,PHX,29,81,36,45,2174,26.8,116.1,156,1.9,6.9,10.5,69,0.9,21.6,8,0.1,3.9,793,9.8,653,8.1,799,9.9,2300,28.4,4.2,0.052
Ulrich Chomche,TOR,19,7,3,4,32,4.6,140.3,4,0.6,18.2,28.6,0,0,0,1,0.1,50,11,1.6,9,1.3,15,2.1,36,5.1,-0.1,-0.021
Vasilije Micic,PHX,31,41,8,33,785,19.1,109.4,69,1.7,8.5,12.9,15,0.4,12.7,0,0,0,326,8,222,5.4,286,7,826,20.1,3,0.073
Victor Wembanyama,SAS,21,46,21,25,1527,33.2,110,424,9.2,25.5,38.9,52,1.1,21.4,176,3.8,74.9,528,11.5,473,10.3,494,10.7,1444,31.4,5.6,0.122
Vince Williams Jr.,MEM,24,27,10,17,499,18.5,116.2,76,2.8,15,22.4,12,0.4,13.5,7,0.3,12.1,231,8.6,142,5.3,188,7,526,19.5,0.9,0.035
Vlatko ?an?ar,DEN,28,13,2,11,136,10.4,100.3,26,2,17,27.1,3,0.2,11.1,2,0.2,12.5,57,4.4,42,3.2,52,4,128,9.8,0.9,0.068
Vít Krej?í,ATL,25,57,28,29,1153,20.2,111.6,134,2.4,11.6,16.9,36,0.6,16.7,26,0.5,21.8,459,8.1,318,5.6,373,6.5,1262,22.1,3.6,0.064
Walker Kessler,UTA,23,58,14,44,1740,30,118.3,441,7.6,23.5,34.6,36,0.6,17.6,138,2.4,68.7,826,14.2,564,9.7,763,13.2,1792,30.9,2.2,0.038
Wendell Carter Jr.,ORL,26,68,31,37,1758,25.9,107.8,341,5,20.2,29.5,52,0.8,16,41,0.6,23.3,600,8.8,413,6.1,510,7.5,1726,25.4,7.6,0.112
Wendell Moore Jr.,CHA,23,36,11,25,499,13.9,112,65,1.8,13.2,20.1,20,0.6,21.3,5,0.1,9.4,201,5.6,145,4,198,5.5,514,14.3,1.6,0.044
Xavier Tillman,BOS,26,33,26,7,231,7,108.9,33,1,14.6,23.4,11,0.3,26.2,5,0.2,21.7,78,2.4,48,1.5,70,2.1,214,6.5,0.9,0.028
Yuki Kawamura,MEM,24,22,17,5,93,4.2,102.5,12,0.5,11.4,18.2,2,0.1,12.5,0,0,0,35,1.6,37,1.7,29,1.3,120,5.5,0.6,0.025
Yuri Collins,GSW,24,2,2,0,16,8.2,111.4,1,0.5,7.1,12.5,2,1,33.3,0,0,0,6,3,10,5,0,0,18,9,0.1,0.027
Yves Missi,NOP,21,73,19,54,1956,26.8,120.5,346,4.7,17.7,27.9,37,0.5,10.9,98,1.3,46.2,812,11.1,660,9,779,10.7,2214,30.3,1.3,0.018
Zaccharie Risacher,ATL,20,75,38,37,1843,24.6,115,182,2.4,9.9,14.7,52,0.7,13.1,37,0.5,18.9,766,10.2,508,6.8,697,9.3,2020,26.9,4.1,0.055
Zach Collins,CHI,27,64,34,30,977,15.3,109.9,186,2.9,17.7,26.6,29,0.5,16.9,29,0.5,33.3,344,5.4,269,4.2,260,4.1,952,14.9,3.6,0.056
Zach Edey,MEM,23,66,35,31,1416,21.5,111.5,316,4.8,20.4,29.8,36,0.5,16.5,85,1.3,50.9,618,9.4,396,6,511,7.7,1372,20.8,4.6,0.069
Zach LaVine,SAC,30,74,32,42,2602,35.2,116.8,293,4,10.7,15.5,58,0.8,15.6,12,0.2,5.4,935,12.6,773,10.4,870,11.8,2906,39.3,4.6,0.062
Zeke Nnaji,DEN,24,57,36,21,608,10.7,108.9,57,1,8.1,12.3,25,0.4,25.8,38,0.7,43.7,229,4,227,4,208,3.6,586,10.3,2.5,0.043
Ziaire Williams,BKN,23,63,22,41,1541,24.5,116.2,226,3.6,15.4,23.8,62,1,24.4,28,0.4,18.4,592,9.4,415,6.6,544,8.6,1610,25.6,3,0.047
Zion Williamson,NOP,24,30,10,20,857,28.6,115.5,140,4.7,15.2,24.3,37,1.2,26.8,27,0.9,24.3,286,9.5,286,9.5,278,9.3,906,30.2,1.9,0.062
Zyon Pullin,MEM,24,3,1,2,3,0.9,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.3,0,0.015
