PLAYER,TEAM,AGE,GAMES_PLAYED,WINS,LOSSES,MIN_TOTAL,MIN_PER_GAME,DEF_RTG,DREB_TOTAL,DREB_PER_GAME,DREB_PCT,PCT_TEAM_DREB,STL_TOTAL,STL_PER_GAME,PCT_TEAM_STL,BLK_TOTAL,BLK_PER_GAME,PCT_TEAM_BLK,OPP_PTS_OFF_TOV_TOTAL,OPP_PPG_OFF_TOV,OPP_2ND_CHANCE_PTS_TOTAL,OPP_2ND_CHANCE_PPG,OPP_FB_PTS_TOTAL,OPP_FB_PPG,OPP_PAINT_PTS_TOTAL,OPP_PAINT_PPG,DEF_WS_TOTAL,DEF_WS_PER_GAME
Kyshawn George,WAS,21,68,15,53,1802,26.5,115.5,236,3.5,12.2,18.8,68,1,23.9,50,0.7,24.8,754,11.1,599,8.8,599,8.8,1862,27.4,3.8,0.055
LaMelo Ball,CHA,23,47,16,31,1504,32,116.5,185,3.9,12.1,18.1,54,1.1,21.3,13,0.3,9,553,11.8,410,8.7,512,10.9,1500,31.9,2.8,0.059
Lamar Stevens,MEM,27,17,7,10,156,9.1,101.8,34,2,18.4,30.9,5,0.3,13.9,3,0.2,16.7,44,2.6,75,4.4,40,2.4,160,9.4,0.9,0.056
Landry Shamet,NYK,28,50,30,20,762,15.2,106.5,50,1,6.4,10.2,23,0.5,18.1,2,0,3.1,244,4.9,206,4.1,164,3.3,834,16.7,3.6,0.072
Larry Nance Jr.,ATL,32,24,10,14,463,19.3,116.5,80,3.3,17.4,25.3,20,0.8,21.7,13,0.5,29.5,176,7.3,128,5.3,136,5.7,478,19.9,0.8,0.035
Lauri Markkanen,UTA,28,47,9,38,1476,31.4,117.5,206,4.4,13.4,19.6,33,0.7,17.3,17,0.4,12,649,13.8,420,8.9,567,12.1,1510,32.1,2.2,0.047
LeBron James,LAL,40,70,44,26,2444,34.9,114,474,6.8,18.7,28.5,70,1,18.6,39,0.6,17.1,872,12.5,734,10.5,847,12.1,2518,36,6.3,0.09
Leonard Miller,MIN,21,13,11,2,32,2.4,98.6,8,0.6,22.9,33.3,2,0.2,66.7,1,0.1,100,8,0.6,6,0.5,4,0.3,20,1.5,0.2,0.018
Lester Quinones,NOP,24,13,3,10,183,14.1,110.4,15,1.2,7.6,10.9,3,0.2,11.5,2,0.2,11.1,73,5.6,69,5.3,72,5.5,222,17.1,0.7,0.053
Liam Robbins,MIL,25,13,8,5,57,4.4,85.6,5,0.4,8.5,11.4,2,0.2,15.4,2,0.2,20,37,2.8,10,0.8,17,1.3,24,1.8,0.6,0.049
Lindy Waters III,DET,27,52,27,25,778,15,110.2,90,1.7,11.6,17.8,27,0.5,19.6,11,0.2,14.5,267,5.1,223,4.3,205,3.9,696,13.4,2.8,0.053
Lonnie Walker IV,PHI,26,20,3,17,477,23.8,118.7,57,2.9,11.7,18.6,10,0.5,12,5,0.3,9.6,201,10.1,167,8.4,198,9.9,522,26.1,0.6,0.029
Lonzo Ball,CHI,27,35,16,19,777,22.2,108,93,2.7,10.6,15.4,47,1.3,32.9,17,0.5,20.5,264,7.5,238,6.8,212,6.1,810,23.1,3.4,0.096
Luguentz Dort,OKC,26,71,57,14,2073,29.2,107.3,204,2.9,9.3,14,79,1.1,17.4,39,0.5,15,553,7.8,636,9,571,8,1908,26.9,9.3,0.13
